type;debut;fin;n_mots;texte
hors_livre;0.00;25.72;39;السلام عليكم ورحمة الرحيم والحمد لله أبّ العالمين صلاته وصلاة وعلى شرف
lecture;25.72;52.80;38;وردي الله عنه قد أثر من ناس في المنصوخ من عدد واتخلوا
hors_livre;52.80;188.48;252;لي مدمجي ما مسعود بايماء بلا بميّة أبياد تبانوية وكسور ورعيية ولاية
hors_livre;218.52;223.38;7;حرارها اي اللبديين اي تحريريين الحضار دادكية
lecture;223.38;229.08;12;واللم يفهمها ده ارقوا لها جمع حادق الوية يولك برؤية مليوى ويه
hors_livre;229.08;509.86;539;اي تحريريين اي اللبديين ويراهين اما احكو مني لما سوختها هاي اما
hors_livre;539.86;651.72;235;فطورة فرصة مار وربهبن قوتي أيو فيوشه يال وصفر ووحدون ياسلات سناء
hors_livre;681.72;726.52;84;وحيث يجب أن يكون المسلم حديثا ونزلك آيات باعمار تاقبوف السيران. معنى
lecture;726.52;731.24;9;عند الموت مركاة ولمانه يو محتضر كيس سكراتك كيين
hors_livre;731.24;745.14;25;وعره لفرض ياله وعلى واتبه يدمرك ايه السكرات وكبيه ما داروح ينقذ
lecture;745.14;752.30;13;كيسي سورة البقرة كتب عليكم اذا حضر احدكم الموتو انترك خيرا الوصية
hors_livre;752.30;843.94;176;يدنك واتبه مركب متك ايه دنك ايه دنك كم ده جير ده
hors_livre;874.16;902.86;56;وحكوله وحينون صخينا مع اواء يأكي لحكوليه حديتي يسبر كون بائريه برنا
lecture;902.86;908.72;10;كان المال للولد وكانت الوصية للوالدين فنصخ اللهم من ذلك
hors_livre;908.72;924.52;34;ما حب مركه هورأ انتا آياتك لحكسو الدين حلعه ابتعسك ودقائه أو
lecture;924.52;954.72;70;للذكر مي تلحظلو صياد كيل لبادي لبادي ديقو ان انت قاتا اندو
hors_livre;954.72;973.38;36;نوط المامية وان أرنك الهي دي نعد ايه حديت نصخ ما آياد
somali;973.38;973.38;1;alimentos
hors_livre;973.38;1037.44;137;يجعلونه حسنة. او كان كنا علمه ايجماعه ذهب كنا علمه الى كل
lecture;1037.44;1046.66;19;فأي تو يشير إلا ان قوله تعالف اين ما تولوا فصر ما
hors_livre;1046.66;1047.60;2;وين صخة
lecture;1047.60;1063.08;33;هاي بقوله تعالف وولي وشكشة در المسيح الحرام كما شايدنا يحكم كي
hors_livre;1063.08;1065.38;4;منصوخة نينة أن سخانتي
lecture;1065.38;1073.00;17;قيلة بآية المواريث وانصد أن لن راتح وقيلة بحديث الله وصية الوارث
hors_livre;1073.00;1083.54;22;حديث في سين نوغة وامدة وأهروح بحق كله وحلو مدر دار مكره
lecture;1083.54;1104.54;27;النوجس مني احرمت امامك رحمة الله عليه وحرمة الاخل بعد النوم مع
hors_livre;1104.54;1105.90;2;وحلقنا حرام
hors_livre;1135.90;1140.76;7;اقلوها ليلقا ما بالنانين. اِن اُنتل اُنه.
hors_livre;1152.72;1171.06;37;اما يوحلعبه. اما ذُمر لا تبوه. كلها دي ايه روضان. اهين انا
lecture;1171.06;1175.62;8;اشارية الى ان ايات كتب عليكم السيام ايضا
hors_livre;1175.62;1180.18;6;كتب عليكم السيام ويضمر كا وحلس
lecture;1180.18;1183.78;8;عتي كما كتب علي الذين من قبلكم وحالا
hors_livre;1183.78;1194.18;23;ينكفر دي يا ليس ام كي ذاك ينكي ينكه ريب الصوم كالله
hors_livre;1224.18;1381.64;322;مركيك ويمي صوما لكتونا الشقين يي أي حاسك يسير وحبن طعم ما
somali;1381.64;1382.56;1;puis
hors_livre;1382.56;1383.98;2;هي مجدداااااااااااااااااااا
somali;1383.98;1384.00;1;stage
somali;1386.18;1390.30;5;swollen where the be good
somali;1393.92;1403.50;7;dont am when I got it it
hors_livre;1405.08;1536.46;235;لكن كيف يدو؟ يبشر يو وقت يداسي هلكم كما قادرني؟ سكمت أحايا
lecture;1536.46;1547.88;22;فمن شهيده منكم وشهره فليو اسمه وقال ذكدر بيسهبه روحه انك يبشي
hors_livre;1547.88;1615.92;124;ونذهب في ديادة بحينة ياماها ونذهب بشيء اوتي وغيبشه ايو صغشه ابصومه
lecture;1615.92;1617.84;4;وعلى الذين الله يضيقونه
hors_livre;1617.84;1629.46;28;كو اكراهي ورقعا اعزم عنها من صخم النقان الصحة دي لا لقوك
hors_livre;1664.32;1738.18;167;وعلى اللذين يضل وقونه وغره يو وحلية ايدا المنصوخ معها لكن تتقارك
lecture;1738.18;1740.70;7;لا ايه افق صوم ايه ادي الاكي
