mot;debut;fin;page;position;texte
والمدني;5067.100;5067.600;1;1;والمدنيّّّ
ان;5067.600;5067.920;1;2;إنّّ
الحمد;5067.920;5068.360;1;3;الحمدّ
لهل;5068.360;5070.000;1;4;لهلّ
نحمده;5070.000;5071.240;1;5;نحمدهّ
ونستعينه;5071.240;5071.307;1;6;ونستعينه،ّ
ونستغفره;5071.307;5071.375;1;7;ونستغفره،ّ
ونعوذ;5071.375;5071.420;1;8;ونعوذّ
بالهل;5071.420;5071.600;1;9;بالهلّ
من;5071.600;5071.645;1;10;منّ
شرور;5071.645;5071.720;1;11;شرورّ
انفسنا;5071.720;5072.800;1;12;أنفسنا،ّ
هادي;556.360;556.660;1;25;هاديّ
له;556.660;556.700;1;26;له،ّ
واشهد;556.700;556.780;1;27;وأشهدّ
ان;556.780;557.600;1;28;أن
لا;557.600;557.820;1;29;لاّّ
اله;557.820;558.520;1;30;إلهّ
الا;558.520;558.720;1;31;إلاّ
اهلل;558.720;558.780;1;32;اهللّ
وحده;558.780;560.380;1;33;وحده
عبده;5834.280;5834.540;1;41;عبدهّ
ورسوله;5834.540;5834.600;1;42;ورسولهّ
صلي;5834.600;5834.960;1;43;صلىّ
اهلل;5834.960;5835.100;1;44;اهللّ
عليه;5835.100;5835.240;1;45;عليهّ
وسلم;5835.240;5836.520;1;46;وسلم،ّ
وعلي;5239.720;5240.360;1;47;وعلىّ
اله;5836.520;5837.060;1;48;آلهّ
وصحبه;5240.360;5240.800;1;49;وصحبه،ّ
ومن;5837.060;5837.680;1;50;ومنّ
اهتدي;5065.705;5065.773;1;51;اهتدىّ
بهديه;5837.680;5839.440;1;52;بهديهّ
الي;5240.800;5241.440;1;53;إلىّ
يوم;5241.440;5242.640;1;54;يومّ
الدين;5839.440;5840.800;1;55;الدين.ّ
اما;504.520;504.780;1;56;أماّّ
بعد;504.780;505.920;1;57;بعد:ّ
فان;505.920;506.360;1;58;فإن
من;506.360;507.360;1;59;منّّ
انواع;507.360;507.640;1;60;أنواعّ
علوم;507.640;508.060;1;61;علومّ
القران;508.060;509.240;1;62;القرآنّ
الايه;479.800;480.000;1;108;الآيةّ
اذا;480.000;481.100;1;109;إذا
كانت;3141.540;3142.360;1;110;كانتّّ
مكيه;481.100;481.540;1;111;مكية،ّ
وكان;3142.360;3143.120;1;112;وكانّ
فيها;481.540;481.607;1;113;فيهاّ
حكم;481.607;482.260;1;114;حكم،ّ
وكان;3143.120;3144.780;1;115;وكانّ
في;3144.780;3145.020;1;116;فيّ
غيرها;3145.020;3145.320;1;117;غيرها
