mot;debut;fin;page;position;texte
سور;0.000;0.051;1;0;ُسوَُر
ه;0.051;0.077;1;1;ة
الافتهح;0.077;0.180;1;2;اَْلافِتَةح
بسم;0.180;0.740;1;3;ِْبِسم
الل;0.740;1.040;1;4;الّلَِ
ه;1.040;1.100;1;5;ه
الرحمن;1.100;1.760;1;6;الّرَْحَِٰمن
الرحيم;1.760;2.580;1;7;الّرَِحيِم
;2.580;3.970;1;8;﴿١﴾
الحم;3.970;5.230;1;9;اْلَُْحم
د;5.230;5.290;1;10;د
لل;5.290;5.710;1;11;ِّللَِ
ه;5.710;5.770;1;12;ه
رب;5.770;6.250;1;13;َّربِ
الاعيلمن;6.250;7.350;1;14;اَْلاعَِيلَمن
;7.350;8.860;1;15;﴿٢﴾
الرحمن;8.860;9.980;1;16;الّرَْحَِٰمن
الرحيم;9.980;10.740;1;17;الّرَِحيِم
;10.740;12.380;1;18;﴿٣﴾
املك;12.380;13.720;1;19;َامِِلك
يوم;13.720;14.040;1;20;َْيِوم
اليدن;14.040;14.660;1;21;الّيِدِن
;14.660;14.740;1;22;﴿٤﴾
ا;14.660;15.516;1;23;ِإ
يا;15.516;16.800;1;24;ّياََ
ك;16.800;17.520;1;25;ك
نعب;17.520;17.940;1;26;َْنُعُب
د;17.940;18.000;1;27;د
اويا;18.000;18.680;1;28;َِإوّياََ
ك;18.680;18.740;1;29;ك
نستيعن;18.740;19.580;1;30;َْنسَِتيعُن
;19.580;21.090;1;31;﴿٥﴾
اهدان;21.090;22.330;1;32;اِْهَدان
الصارط;22.330;22.810;1;33;الَِّصارَط
المستيق;22.810;23.750;1;34;اُْلْمسَِتيقَ
م;23.750;25.440;1;35;م
;25.440;25.520;1;36;﴿٦﴾
صارط;25.440;26.620;1;37;َِصارَط
اليذن;26.620;27.100;1;38;اِّلَيذَن
انعمت;27.100;27.600;1;39;َأَْنْعمَت
عليهم;27.600;28.080;1;40;ََعْليِْهم
غير;28.080;28.500;1;41;َْغِير
المغضوب;28.500;29.100;1;42;اَْلْمُغضوِب
عليهم;29.100;29.660;1;43;ََعْليِْهم
وال;29.660;29.920;1;44;ََوال
الضايلن;29.920;30.012;1;45;الّضَاّيِلَن
;30.012;30.012;1;46;﴿٧﴾
سور;30.012;30.058;2;0;ُسوَُر
ه;30.058;30.082;2;1;ة
الاخالص;30.082;30.174;2;2;اْلِإْخَالص
بسم;30.174;30.220;2;3;ِْبِسم
الل;30.220;31.040;2;4;الّلَِ
ه;31.040;31.260;2;5;ه
الرحمن;31.260;32.030;2;6;الّرَْحَِٰمن
الرحيم;32.030;32.800;2;7;الّرَِحيِم
قل;32.800;33.520;2;8;ُْقل
ه;33.520;33.580;2;9;َُه
و;33.580;33.760;2;10;و
الل;33.760;34.220;2;11;الّلَُ
ه;34.220;34.280;2;12;ه
احد;34.280;34.860;2;13;َأٌَحد
;34.860;36.200;2;14;﴿١﴾
الل;36.200;37.300;2;15;الّلَُ
ه;37.300;37.360;2;16;ه
الصم;37.360;38.000;2;17;الّصََُم
د;38.000;39.670;2;18;د
;39.670;39.750;2;19;﴿٢﴾
لم;39.670;40.550;2;20;َْلم
يلد;40.550;40.950;2;21;َِْيلد
ولم;40.950;41.170;2;22;ََوْلم
وي;41.170;41.230;2;23;ُوي
لد;41.230;42.330;2;24;ْلََد
;42.330;43.900;2;25;﴿٣﴾
ولم;43.900;44.400;2;26;ََوْلم
ينك;44.400;44.900;2;27;َُينك
ل;44.900;45.260;2;28;ُّلَ
هكفاو;45.260;45.680;2;29;ُهكًُفاو
احد;45.680;46.080;2;30;َأٌَحد
;46.080;46.160;2;31;﴿٤﴾
